location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
2161321,7771990,Văn Quán-2131297,2024-01-29 06:00:00+00:00,20.972,105.7856,co,µg/m³,547.1
2161321,7771990,Văn Quán-2131297,2024-01-29 07:00:00+00:00,20.972,105.7856,co,µg/m³,578.3
2161321,7771990,Văn Quán-2131297,2024-01-29 08:00:00+00:00,20.972,105.7856,co,µg/m³,592.2
2161321,7772028,Văn Quán-2131297,2024-01-29 06:00:00+00:00,20.972,105.7856,no2,µg/m³,13.1
2161321,7772028,Văn Quán-2131297,2024-01-29 07:00:00+00:00,20.972,105.7856,no2,µg/m³,14.5
2161321,7772028,Văn Quán-2131297,2024-01-29 08:00:00+00:00,20.972,105.7856,no2,µg/m³,20.7
2161321,7772062,Văn Quán-2131297,2024-01-29 06:00:00+00:00,20.972,105.7856,pm10,µg/m³,63.3
2161321,7772062,Văn Quán-2131297,2024-01-29 07:00:00+00:00,20.972,105.7856,pm10,µg/m³,57.7
2161321,7772062,Văn Quán-2131297,2024-01-29 08:00:00+00:00,20.972,105.7856,pm10,µg/m³,95.9
2161321,7772099,Văn Quán-2131297,2024-01-29 06:00:00+00:00,20.972,105.7856,pm25,µg/m³,44.7
2161321,7772099,Văn Quán-2131297,2024-01-29 07:00:00+00:00,20.972,105.7856,pm25,µg/m³,39.8
2161321,7772099,Văn Quán-2131297,2024-01-29 08:00:00+00:00,20.972,105.7856,pm25,µg/m³,67.4
2161321,7771990,Văn Quán-2131297,2024-01-29 22:00:00+00:00,20.972,105.7856,co,µg/m³,700.6
2161321,7771990,Văn Quán-2131297,2024-01-29 23:00:00+00:00,20.972,105.7856,co,µg/m³,739.8
2161321,7771990,Văn Quán-2131297,2024-01-30 00:00:00+00:00,20.972,105.7856,co,µg/m³,775.8
2161321,7771990,Văn Quán-2131297,2024-01-30 02:00:00+00:00,20.972,105.7856,co,µg/m³,1120.9
2161321,7771990,Văn Quán-2131297,2024-01-30 03:00:00+00:00,20.972,105.7856,co,µg/m³,1433.9
2161321,7771990,Văn Quán-2131297,2024-01-30 04:00:00+00:00,20.972,105.7856,co,µg/m³,1488.6
2161321,7771990,Văn Quán-2131297,2024-01-30 06:00:00+00:00,20.972,105.7856,co,µg/m³,1576.7
2161321,7771990,Văn Quán-2131297,2024-01-30 07:00:00+00:00,20.972,105.7856,co,µg/m³,1575.3
2161321,7771990,Văn Quán-2131297,2024-01-30 08:00:00+00:00,20.972,105.7856,co,µg/m³,1644.2
2161321,7772028,Văn Quán-2131297,2024-01-29 22:00:00+00:00,20.972,105.7856,no2,µg/m³,21.6
2161321,7772028,Văn Quán-2131297,2024-01-29 23:00:00+00:00,20.972,105.7856,no2,µg/m³,26.0
2161321,7772028,Văn Quán-2131297,2024-01-30 00:00:00+00:00,20.972,105.7856,no2,µg/m³,36.6
2161321,7772028,Văn Quán-2131297,2024-01-30 02:00:00+00:00,20.972,105.7856,no2,µg/m³,28.8
2161321,7772028,Văn Quán-2131297,2024-01-30 03:00:00+00:00,20.972,105.7856,no2,µg/m³,26.4
2161321,7772028,Văn Quán-2131297,2024-01-30 04:00:00+00:00,20.972,105.7856,no2,µg/m³,36.7
2161321,7772028,Văn Quán-2131297,2024-01-30 06:00:00+00:00,20.972,105.7856,no2,µg/m³,23.8
2161321,7772028,Văn Quán-2131297,2024-01-30 07:00:00+00:00,20.972,105.7856,no2,µg/m³,35.0
2161321,7772028,Văn Quán-2131297,2024-01-30 08:00:00+00:00,20.972,105.7856,no2,µg/m³,35.2
2161321,7772062,Văn Quán-2131297,2024-01-29 22:00:00+00:00,20.972,105.7856,pm10,µg/m³,49.1
2161321,7772062,Văn Quán-2131297,2024-01-29 23:00:00+00:00,20.972,105.7856,pm10,µg/m³,61.7
2161321,7772062,Văn Quán-2131297,2024-01-30 00:00:00+00:00,20.972,105.7856,pm10,µg/m³,60.4
2161321,7772062,Văn Quán-2131297,2024-01-30 02:00:00+00:00,20.972,105.7856,pm10,µg/m³,89.9
2161321,7772062,Văn Quán-2131297,2024-01-30 03:00:00+00:00,20.972,105.7856,pm10,µg/m³,71.3
2161321,7772062,Văn Quán-2131297,2024-01-30 04:00:00+00:00,20.972,105.7856,pm10,µg/m³,60.4
2161321,7772062,Văn Quán-2131297,2024-01-30 06:00:00+00:00,20.972,105.7856,pm10,µg/m³,40.1
2161321,7772062,Văn Quán-2131297,2024-01-30 07:00:00+00:00,20.972,105.7856,pm10,µg/m³,38.2
2161321,7772062,Văn Quán-2131297,2024-01-30 08:00:00+00:00,20.972,105.7856,pm10,µg/m³,30.0
2161321,7772099,Văn Quán-2131297,2024-01-29 22:00:00+00:00,20.972,105.7856,pm25,µg/m³,48.6
2161321,7772099,Văn Quán-2131297,2024-01-29 23:00:00+00:00,20.972,105.7856,pm25,µg/m³,61.4
2161321,7772099,Văn Quán-2131297,2024-01-30 00:00:00+00:00,20.972,105.7856,pm25,µg/m³,60.0
2161321,7772099,Văn Quán-2131297,2024-01-30 02:00:00+00:00,20.972,105.7856,pm25,µg/m³,54.7
2161321,7772099,Văn Quán-2131297,2024-01-30 03:00:00+00:00,20.972,105.7856,pm25,µg/m³,44.8
2161321,7772099,Văn Quán-2131297,2024-01-30 04:00:00+00:00,20.972,105.7856,pm25,µg/m³,39.8
2161321,7772099,Văn Quán-2131297,2024-01-30 06:00:00+00:00,20.972,105.7856,pm25,µg/m³,38.7
2161321,7772099,Văn Quán-2131297,2024-01-30 07:00:00+00:00,20.972,105.7856,pm25,µg/m³,36.8
2161321,7772099,Văn Quán-2131297,2024-01-30 08:00:00+00:00,20.972,105.7856,pm25,µg/m³,28.4
2161321,7771990,Văn Quán-2131297,2024-01-30 22:00:00+00:00,20.972,105.7856,co,µg/m³,599.2
2161321,7771990,Văn Quán-2131297,2024-01-30 23:00:00+00:00,20.972,105.7856,co,µg/m³,569.9
2161321,7771990,Văn Quán-2131297,2024-01-31 00:00:00+00:00,20.972,105.7856,co,µg/m³,744.0
2161321,7771990,Văn Quán-2131297,2024-01-31 02:00:00+00:00,20.972,105.7856,co,µg/m³,1580.1
2161321,7771990,Văn Quán-2131297,2024-01-31 03:00:00+00:00,20.972,105.7856,co,µg/m³,997.0
2161321,7771990,Văn Quán-2131297,2024-01-31 04:00:00+00:00,20.972,105.7856,co,µg/m³,883.7
2161321,7771990,Văn Quán-2131297,2024-01-31 06:00:00+00:00,20.972,105.7856,co,µg/m³,882.3
2161321,7771990,Văn Quán-2131297,2024-01-31 07:00:00+00:00,20.972,105.7856,co,µg/m³,851.4
2161321,7771990,Văn Quán-2131297,2024-01-31 08:00:00+00:00,20.972,105.7856,co,µg/m³,996.8
2161321,7772028,Văn Quán-2131297,2024-01-30 22:00:00+00:00,20.972,105.7856,no2,µg/m³,24.6
2161321,7772028,Văn Quán-2131297,2024-01-30 23:00:00+00:00,20.972,105.7856,no2,µg/m³,34.0
2161321,7772028,Văn Quán-2131297,2024-01-31 00:00:00+00:00,20.972,105.7856,no2,µg/m³,44.5
2161321,7772028,Văn Quán-2131297,2024-01-31 02:00:00+00:00,20.972,105.7856,no2,µg/m³,53.4
2161321,7772028,Văn Quán-2131297,2024-01-31 03:00:00+00:00,20.972,105.7856,no2,µg/m³,58.2
2161321,7772028,Văn Quán-2131297,2024-01-31 04:00:00+00:00,20.972,105.7856,no2,µg/m³,33.9
2161321,7772028,Văn Quán-2131297,2024-01-31 06:00:00+00:00,20.972,105.7856,no2,µg/m³,56.7
2161321,7772028,Văn Quán-2131297,2024-01-31 07:00:00+00:00,20.972,105.7856,no2,µg/m³,54.6
2161321,7772028,Văn Quán-2131297,2024-01-31 08:00:00+00:00,20.972,105.7856,no2,µg/m³,30.4
2161321,7772062,Văn Quán-2131297,2024-01-30 22:00:00+00:00,20.972,105.7856,pm10,µg/m³,28.2
2161321,7772062,Văn Quán-2131297,2024-01-30 23:00:00+00:00,20.972,105.7856,pm10,µg/m³,40.1
2161321,7772062,Văn Quán-2131297,2024-01-31 00:00:00+00:00,20.972,105.7856,pm10,µg/m³,37.1
2161321,7772062,Văn Quán-2131297,2024-01-31 02:00:00+00:00,20.972,105.7856,pm10,µg/m³,71.0
2161321,7772062,Văn Quán-2131297,2024-01-31 03:00:00+00:00,20.972,105.7856,pm10,µg/m³,42.5
2161321,7772062,Văn Quán-2131297,2024-01-31 04:00:00+00:00,20.972,105.7856,pm10,µg/m³,41.6
2161321,7772062,Văn Quán-2131297,2024-01-31 06:00:00+00:00,20.972,105.7856,pm10,µg/m³,54.6
2161321,7772062,Văn Quán-2131297,2024-01-31 07:00:00+00:00,20.972,105.7856,pm10,µg/m³,64.0
2161321,7772062,Văn Quán-2131297,2024-01-31 08:00:00+00:00,20.972,105.7856,pm10,µg/m³,74.2
2161321,7772099,Văn Quán-2131297,2024-01-30 22:00:00+00:00,20.972,105.7856,pm25,µg/m³,26.7
2161321,7772099,Văn Quán-2131297,2024-01-30 23:00:00+00:00,20.972,105.7856,pm25,µg/m³,36.2
2161321,7772099,Văn Quán-2131297,2024-01-31 00:00:00+00:00,20.972,105.7856,pm25,µg/m³,30.1
2161321,7772099,Văn Quán-2131297,2024-01-31 02:00:00+00:00,20.972,105.7856,pm25,µg/m³,43.2
2161321,7772099,Văn Quán-2131297,2024-01-31 03:00:00+00:00,20.972,105.7856,pm25,µg/m³,26.7
2161321,7772099,Văn Quán-2131297,2024-01-31 04:00:00+00:00,20.972,105.7856,pm25,µg/m³,27.4
2161321,7772099,Văn Quán-2131297,2024-01-31 06:00:00+00:00,20.972,105.7856,pm25,µg/m³,32.7
2161321,7772099,Văn Quán-2131297,2024-01-31 07:00:00+00:00,20.972,105.7856,pm25,µg/m³,47.3
2161321,7772099,Văn Quán-2131297,2024-01-31 08:00:00+00:00,20.972,105.7856,pm25,µg/m³,52.6
2161321,7771990,Văn Quán-2131297,2024-02-02 11:00:00+00:00,20.972,105.7856,co,µg/m³,786.2
2161321,7771990,Văn Quán-2131297,2024-02-02 12:00:00+00:00,20.972,105.7856,co,µg/m³,822.6
2161321,7771990,Văn Quán-2131297,2024-02-02 13:00:00+00:00,20.972,105.7856,co,µg/m³,589.5
2161321,7772028,Văn Quán-2131297,2024-02-02 11:00:00+00:00,20.972,105.7856,no2,µg/m³,30.9
2161321,7772028,Văn Quán-2131297,2024-02-02 12:00:00+00:00,20.972,105.7856,no2,µg/m³,27.7
2161321,7772028,Văn Quán-2131297,2024-02-02 13:00:00+00:00,20.972,105.7856,no2,µg/m³,21.3
2161321,7772062,Văn Quán-2131297,2024-02-02 11:00:00+00:00,20.972,105.7856,pm10,µg/m³,33.9
2161321,7772062,Văn Quán-2131297,2024-02-02 12:00:00+00:00,20.972,105.7856,pm10,µg/m³,35.7
2161321,7772062,Văn Quán-2131297,2024-02-02 13:00:00+00:00,20.972,105.7856,pm10,µg/m³,37.5
2161321,7772099,Văn Quán-2131297,2024-02-02 11:00:00+00:00,20.972,105.7856,pm25,µg/m³,23.4
2161321,7772099,Văn Quán-2131297,2024-02-02 12:00:00+00:00,20.972,105.7856,pm25,µg/m³,25.1
2161321,7772099,Văn Quán-2131297,2024-02-02 13:00:00+00:00,20.972,105.7856,pm25,µg/m³,28.0
2161321,7771990,Văn Quán-2131297,2024-02-02 22:00:00+00:00,20.972,105.7856,co,µg/m³,709.4
2161321,7771990,Văn Quán-2131297,2024-02-02 23:00:00+00:00,20.972,105.7856,co,µg/m³,263.3
2161321,7771990,Văn Quán-2131297,2024-02-03 00:00:00+00:00,20.972,105.7856,co,µg/m³,606.7
2161321,7771990,Văn Quán-2131297,2024-02-03 01:00:00+00:00,20.972,105.7856,co,µg/m³,1036.2
2161321,7771990,Văn Quán-2131297,2024-02-03 02:00:00+00:00,20.972,105.7856,co,µg/m³,536.9
2161321,7771990,Văn Quán-2131297,2024-02-03 03:00:00+00:00,20.972,105.7856,co,µg/m³,552.4
2161321,7771990,Văn Quán-2131297,2024-02-03 06:00:00+00:00,20.972,105.7856,co,µg/m³,396.6
2161321,7771990,Văn Quán-2131297,2024-02-03 07:00:00+00:00,20.972,105.7856,co,µg/m³,405.8
2161321,7771990,Văn Quán-2131297,2024-02-03 08:00:00+00:00,20.972,105.7856,co,µg/m³,399.8
2161321,7772028,Văn Quán-2131297,2024-02-02 22:00:00+00:00,20.972,105.7856,no2,µg/m³,16.1
2161321,7772028,Văn Quán-2131297,2024-02-02 23:00:00+00:00,20.972,105.7856,no2,µg/m³,20.4
2161321,7772028,Văn Quán-2131297,2024-02-03 00:00:00+00:00,20.972,105.7856,no2,µg/m³,14.2
2161321,7772028,Văn Quán-2131297,2024-02-03 01:00:00+00:00,20.972,105.7856,no2,µg/m³,27.2
2161321,7772028,Văn Quán-2131297,2024-02-03 02:00:00+00:00,20.972,105.7856,no2,µg/m³,30.4
2161321,7772028,Văn Quán-2131297,2024-02-03 03:00:00+00:00,20.972,105.7856,no2,µg/m³,18.3
2161321,7772028,Văn Quán-2131297,2024-02-03 06:00:00+00:00,20.972,105.7856,no2,µg/m³,16.0
2161321,7772028,Văn Quán-2131297,2024-02-03 07:00:00+00:00,20.972,105.7856,no2,µg/m³,15.1
2161321,7772028,Văn Quán-2131297,2024-02-03 08:00:00+00:00,20.972,105.7856,no2,µg/m³,13.9
2161321,7772062,Văn Quán-2131297,2024-02-02 22:00:00+00:00,20.972,105.7856,pm10,µg/m³,34.2
2161321,7772062,Văn Quán-2131297,2024-02-02 23:00:00+00:00,20.972,105.7856,pm10,µg/m³,47.4
2161321,7772062,Văn Quán-2131297,2024-02-03 00:00:00+00:00,20.972,105.7856,pm10,µg/m³,24.0
2161321,7772062,Văn Quán-2131297,2024-02-03 01:00:00+00:00,20.972,105.7856,pm10,µg/m³,37.5
2161321,7772062,Văn Quán-2131297,2024-02-03 02:00:00+00:00,20.972,105.7856,pm10,µg/m³,29.5
2161321,7772062,Văn Quán-2131297,2024-02-03 03:00:00+00:00,20.972,105.7856,pm10,µg/m³,33.7
2161321,7772062,Văn Quán-2131297,2024-02-03 06:00:00+00:00,20.972,105.7856,pm10,µg/m³,40.1
2161321,7772062,Văn Quán-2131297,2024-02-03 07:00:00+00:00,20.972,105.7856,pm10,µg/m³,26.6
2161321,7772062,Văn Quán-2131297,2024-02-03 08:00:00+00:00,20.972,105.7856,pm10,µg/m³,25.2
2161321,7772099,Văn Quán-2131297,2024-02-02 22:00:00+00:00,20.972,105.7856,pm25,µg/m³,23.1
2161321,7772099,Văn Quán-2131297,2024-02-02 23:00:00+00:00,20.972,105.7856,pm25,µg/m³,30.2
2161321,7772099,Văn Quán-2131297,2024-02-03 00:00:00+00:00,20.972,105.7856,pm25,µg/m³,15.8
2161321,7772099,Văn Quán-2131297,2024-02-03 01:00:00+00:00,20.972,105.7856,pm25,µg/m³,26.2
2161321,7772099,Văn Quán-2131297,2024-02-03 02:00:00+00:00,20.972,105.7856,pm25,µg/m³,21.5
2161321,7772099,Văn Quán-2131297,2024-02-03 03:00:00+00:00,20.972,105.7856,pm25,µg/m³,23.9
2161321,7772099,Văn Quán-2131297,2024-02-03 06:00:00+00:00,20.972,105.7856,pm25,µg/m³,26.4
2161321,7772099,Văn Quán-2131297,2024-02-03 07:00:00+00:00,20.972,105.7856,pm25,µg/m³,15.9
