datetime,temperature_2m,relative_humidity_2m,precipitation,rain,wind_speed_10m,wind_direction_10m,pressure_msl,boundary_layer_height
2022-08-02 00:00:00+07:00,26.1935,95.65283,0.0,0.0,6.696387,126.25393,1006.3,75.0
2022-08-02 01:00:00+07:00,26.3935,94.81104,0.2,0.2,4.39436,145.0079,1006.0,65.0
2022-08-02 02:00:00+07:00,26.293499,94.52586,0.0,0.0,4.3349743,131.63345,1005.6,65.0
2022-08-02 03:00:00+07:00,25.9435,95.64491,0.0,0.0,5.991594,122.73522,1005.3,80.0
2022-08-02 04:00:00+07:00,25.9435,94.51194,0.0,0.0,5.6233797,129.80553,1005.1,110.0
2022-08-02 05:00:00+07:00,25.4935,96.20338,0.0,0.0,5.815978,111.801476,1005.1,105.0
2022-08-02 06:00:00+07:00,26.0935,95.649666,0.0,0.0,3.8939953,123.6901,1005.6,105.0
2022-08-02 07:00:00+07:00,27.543499,91.5533,0.0,0.0,7.386582,133.02507,1006.5,245.0
2022-08-02 08:00:00+07:00,28.8435,84.87896,0.1,0.1,6.6087217,150.64235,1007.1,360.0
2022-08-02 09:00:00+07:00,29.9935,79.42924,0.1,0.1,7.289444,159.77505,1007.2,570.0
2022-08-02 10:00:00+07:00,31.0935,73.92369,0.0,0.0,7.0911775,156.0375,1007.2,900.0
2022-08-02 11:00:00+07:00,31.793499,70.41073,0.0,0.0,7.24486,153.43501,1007.2,1150.0
2022-08-02 12:00:00+07:00,32.1435,70.26613,0.1,0.1,6.9247384,152.10283,1006.7,985.0
2022-08-02 13:00:00+07:00,32.6935,68.92807,0.1,0.1,6.696387,143.74608,1005.5,540.0
2022-08-02 14:00:00+07:00,33.0435,67.384514,0.0,0.0,3.396233,122.00535,1004.4,550.0
2022-08-02 15:00:00+07:00,30.293499,74.897964,0.7,0.7,17.673029,146.63362,1004.0,660.0
2022-08-02 16:00:00+07:00,28.3935,85.08466,0.4,0.4,10.739833,166.42955,1003.6,725.0
2022-08-02 17:00:00+07:00,29.1435,82.19194,0.1,0.1,9.449572,162.25523,1003.5,545.0
2022-08-02 18:00:00+07:00,28.7435,85.62532,0.0,0.0,6.9899354,168.11136,1003.8,360.0
2022-08-02 19:00:00+07:00,28.7435,86.387825,0.0,0.0,6.297428,149.03632,1004.7,310.0
2022-08-02 20:00:00+07:00,28.4435,87.90556,0.0,0.0,6.0347,162.64589,1005.7,295.0
2022-08-02 21:00:00+07:00,28.043499,90.776566,0.0,0.0,6.379216,163.61038,1006.9,170.0
2022-08-02 22:00:00+07:00,27.9935,90.50576,0.0,0.0,7.8954163,155.77226,1007.9,95.0
2022-08-02 23:00:00+07:00,27.6435,89.94802,0.0,0.0,7.42159,157.1663,1008.2,80.0
2022-08-03 00:00:00+07:00,27.2435,90.72437,0.0,0.0,7.4128532,150.9455,1007.6,55.0
2022-08-03 01:00:00+07:00,26.7435,92.87554,0.0,0.0,5.4833565,156.80138,1007.3,50.0
2022-08-03 02:00:00+07:00,26.4435,93.97167,0.0,0.0,5.0142193,158.96242,1006.9,55.0
2022-08-03 03:00:00+07:00,26.3435,93.68816,0.0,0.0,5.495161,148.39255,1006.4,60.0
2022-08-03 04:00:00+07:00,25.5935,95.91958,0.0,0.0,6.439876,153.43501,1006.4,65.0
2022-08-03 05:00:00+07:00,25.7435,94.50401,0.0,0.0,4.2136917,160.0168,1006.3,55.0
2022-08-03 06:00:00+07:00,25.8935,96.78858,0.0,0.0,2.3051248,141.34016,1006.5,30.0
2022-08-03 07:00:00+07:00,27.8435,88.90316,0.0,0.0,2.5455842,135.0001,1007.4,120.0
2022-08-03 08:00:00+07:00,29.3935,81.9788,0.0,0.0,2.1897945,170.53775,1007.5,370.0
2022-08-03 09:00:00+07:00,30.7435,73.64702,0.0,0.0,3.219938,243.43501,1007.5,565.0
2022-08-03 10:00:00+07:00,31.543499,69.121,0.0,0.0,1.835647,258.6901,1007.3,730.0
2022-08-03 11:00:00+07:00,32.4435,65.10212,0.0,0.0,0.5091169,135.0001,1006.9,825.0
2022-08-03 12:00:00+07:00,32.7435,63.440155,0.0,0.0,3.219938,243.43501,1006.5,925.0
2022-08-03 13:00:00+07:00,33.2435,62.421673,0.0,0.0,3.219938,206.56499,1005.6,1045.0
2022-08-03 14:00:00+07:00,33.3935,62.826744,0.0,0.0,3.7585104,163.30067,1004.4,1095.0
2022-08-03 15:00:00+07:00,33.0435,64.26391,0.0,0.0,6.0347,162.64589,1003.2,1080.0
