datetime,temperature_2m,relative_humidity_2m,precipitation,rain,wind_speed_10m,wind_direction_10m,pressure_msl,boundary_layer_height
2022-08-02 00:00:00+07:00,26.561,95.09895,0.0,0.0,4.39436,124.992096,1006.4,75.0
2022-08-02 01:00:00+07:00,26.461,95.378,0.1,0.1,4.510787,151.38963,1006.1,65.0
2022-08-02 02:00:00+07:00,26.361,95.65813,0.1,0.1,4.452954,165.96373,1005.7,65.0
2022-08-02 03:00:00+07:00,26.211,95.65338,0.0,0.0,3.8268526,131.18582,1005.4,80.0
2022-08-02 04:00:00+07:00,26.111,96.22045,0.0,0.0,4.39436,124.992096,1005.2,110.0
2022-08-02 05:00:00+07:00,25.861,97.076035,0.0,0.0,4.5536795,108.43504,1005.2,105.0
2022-08-02 06:00:00+07:00,26.061,96.5054,0.0,0.0,6.439876,116.56499,1005.6,105.0
2022-08-02 07:00:00+07:00,27.411001,91.81675,0.0,0.0,8.0899935,122.27562,1006.5,245.0
2022-08-02 08:00:00+07:00,28.761,83.62256,0.0,0.0,7.7043357,142.59457,1007.2,360.0
2022-08-02 09:00:00+07:00,29.911001,79.183334,0.0,0.0,7.8954163,155.77226,1007.2,570.0
2022-08-02 10:00:00+07:00,30.911001,74.55357,0.0,0.0,7.5942082,148.57048,1007.2,900.0
2022-08-02 11:00:00+07:00,31.511,73.12305,0.1,0.1,7.928177,140.52757,1007.3,1150.0
2022-08-02 12:00:00+07:00,32.111,71.30639,0.1,0.1,8.161764,138.57643,1006.7,985.0
2022-08-02 13:00:00+07:00,32.711,69.544464,0.1,0.1,8.714677,128.2902,1005.6,540.0
2022-08-02 14:00:00+07:00,33.161,65.6371,0.0,0.0,5.4477882,97.59455,1004.4,550.0
2022-08-02 15:00:00+07:00,29.261,80.04063,0.4,0.4,16.645864,158.42863,1004.2,660.0
2022-08-02 16:00:00+07:00,28.661001,84.609146,0.2,0.2,10.182337,171.86998,1003.6,725.0
2022-08-02 17:00:00+07:00,29.161001,80.9841,0.0,0.0,9.0,163.73972,1003.5,545.0
2022-08-02 18:00:00+07:00,28.811,83.3805,0.0,0.0,5.5887027,165.06853,1003.9,360.0
2022-08-02 19:00:00+07:00,28.911001,84.38527,0.0,0.0,7.386582,133.02507,1004.7,310.0
2022-08-02 20:00:00+07:00,28.761,85.3742,0.0,0.0,9.0,143.13002,1005.8,295.0
2022-08-02 21:00:00+07:00,28.461,86.10612,0.0,0.0,8.891343,148.24057,1007.0,170.0
2022-08-02 22:00:00+07:00,28.061,87.09561,0.0,0.0,8.225035,156.80139,1008.0,95.0
2022-08-02 23:00:00+07:00,27.561,89.14544,0.0,0.0,6.830519,161.56496,1008.3,80.0
2022-08-03 00:00:00+07:00,27.111,91.52732,0.0,0.0,6.28713,156.3706,1007.7,55.0
2022-08-03 01:00:00+07:00,26.561,94.536415,0.0,0.0,4.802999,167.00539,1007.3,50.0
2022-08-03 02:00:00+07:00,26.411001,95.3763,0.0,0.0,4.68,180.0,1007.0,55.0
2022-08-03 03:00:00+07:00,26.261,96.22459,0.0,0.0,4.379589,170.53775,1006.5,60.0
2022-08-03 04:00:00+07:00,25.661001,97.071754,0.0,0.0,6.0347,162.64589,1006.5,65.0
2022-08-03 05:00:00+07:00,25.611,96.78191,0.0,0.0,5.1919937,146.3099,1006.3,55.0
2022-08-03 06:00:00+07:00,26.161001,96.22182,0.0,0.0,2.0364676,135.0001,1006.5,30.0
2022-08-03 07:00:00+07:00,28.011,88.91614,0.0,0.0,2.9024127,119.74479,1007.5,120.0
2022-08-03 08:00:00+07:00,29.511,80.549675,0.0,0.0,2.7416782,156.80138,1007.6,370.0
2022-08-03 09:00:00+07:00,30.661001,73.6333,0.1,0.1,3.396233,212.00534,1007.5,565.0
2022-08-03 10:00:00+07:00,31.361,69.91469,0.1,0.1,2.3051248,231.34016,1007.4,730.0
2022-08-03 11:00:00+07:00,32.161,67.012024,0.1,0.1,1.1384199,161.56496,1007.0,825.0
2022-08-03 12:00:00+07:00,32.760998,65.55585,0.1,0.1,3.5455887,203.9625,1006.5,925.0
2022-08-03 13:00:00+07:00,33.010998,63.686237,0.1,0.1,4.1046314,195.25517,1005.6,1045.0
2022-08-03 14:00:00+07:00,33.010998,64.64021,0.1,0.1,4.6938252,175.60138,1004.5,1095.0
2022-08-03 15:00:00+07:00,32.861,65.57619,0.2,0.2,5.8603754,169.3804,1003.2,1080.0
