aq_station_id,assigned_weather_station_id
2539,48820
7441,48820
1285357,48820
2161290,48825
2161291,48820
2161292,48820
2161293,48825
2161294,48820
2161295,48820
2161296,48820
2161298,48820
2161299,48820
2161300,48820
2161301,48820
2161303,48820
2161304,48820
2161306,48820
2161307,48820
2161308,48820
2161309,48825
2161313,48820
2161314,48820
2161315,48825
2161316,48820
2161318,48820
2161320,48820
2161321,48825
2161322,48820
4946811,48820
4946812,48820
4946813,48820
