location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 18:00:00+00:00,21.05,105.74,pm10,µg/m³,42.07
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 19:00:00+00:00,21.05,105.74,pm10,µg/m³,36.54
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 20:00:00+00:00,21.05,105.74,pm10,µg/m³,25.58
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 21:00:00+00:00,21.05,105.74,pm10,µg/m³,17.91
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 22:00:00+00:00,21.05,105.74,pm10,µg/m³,13.91
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 23:00:00+00:00,21.05,105.74,pm10,µg/m³,11.93
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 00:00:00+00:00,21.05,105.74,pm10,µg/m³,13.58
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 01:00:00+00:00,21.05,105.74,pm10,µg/m³,18.08
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 02:00:00+00:00,21.05,105.74,pm10,µg/m³,20.66
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 03:00:00+00:00,21.05,105.74,pm10,µg/m³,23.24
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 04:00:00+00:00,21.05,105.74,pm10,µg/m³,29.93
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 05:00:00+00:00,21.05,105.74,pm10,µg/m³,39.22
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 06:00:00+00:00,21.05,105.74,pm10,µg/m³,36.15
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 07:00:00+00:00,21.05,105.74,pm10,µg/m³,34.63
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 08:00:00+00:00,21.05,105.74,pm10,µg/m³,25.53
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 09:00:00+00:00,21.05,105.74,pm10,µg/m³,26.37
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 10:00:00+00:00,21.05,105.74,pm10,µg/m³,29.94
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 11:00:00+00:00,21.05,105.74,pm10,µg/m³,26.86
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 12:00:00+00:00,21.05,105.74,pm10,µg/m³,30.79
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 13:00:00+00:00,21.05,105.74,pm10,µg/m³,40.84
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 14:00:00+00:00,21.05,105.74,pm10,µg/m³,50.88
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 15:00:00+00:00,21.05,105.74,pm10,µg/m³,46.36
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 16:00:00+00:00,21.05,105.74,pm10,µg/m³,43.87
2161306,7772055,Minh Khai - Bắc Từ Liêm-2131282,2025-07-01 17:00:00+00:00,21.05,105.74,pm10,µg/m³,40.27
2161306,7772097,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 18:00:00+00:00,21.05,105.74,o3,µg/m³,8.45
2161306,7772097,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 19:00:00+00:00,21.05,105.74,o3,µg/m³,8.88
2161306,7772097,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 20:00:00+00:00,21.05,105.74,o3,µg/m³,8.27
2161306,7772097,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 21:00:00+00:00,21.05,105.74,o3,µg/m³,10.3
2161306,7772097,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 22:00:00+00:00,21.05,105.74,o3,µg/m³,6.28
2161306,7772097,Minh Khai - Bắc Từ Liêm-2131282,2025-06-30 23:00:00+00:00,21.05,105.74,o3,µg/m³,9.9
