datetime,pm10_cams,pm2_5_cams,carbon_monoxide_cams,nitrogen_dioxide_cams,sulphur_dioxide_cams,ozone_cams,dust_cams
2024-01-29 00:00:00+00:00,49.4,34.1,610.0,16.0,15.5,30.0,0.0
2024-01-29 01:00:00+00:00,51.6,35.6,618.0,15.9,16.6,30.0,0.0
2024-01-29 02:00:00+00:00,51.9,36.0,629.0,15.7,18.2,31.0,0.0
2024-01-29 03:00:00+00:00,51.2,35.4,632.0,15.4,20.1,33.0,0.0
2024-01-29 04:00:00+00:00,49.9,34.6,619.0,14.7,22.3,38.0,0.0
2024-01-29 05:00:00+00:00,47.8,33.1,598.0,13.8,24.7,45.0,0.0
2024-01-29 06:00:00+00:00,46.0,31.9,584.0,13.6,26.9,50.0,0.0
2024-01-29 07:00:00+00:00,44.0,30.5,553.0,13.1,28.0,55.0,0.0
2024-01-29 08:00:00+00:00,43.3,30.0,528.0,13.3,29.0,59.0,0.0
2024-01-29 09:00:00+00:00,43.2,30.0,593.0,17.6,31.6,56.0,0.0
2024-01-29 10:00:00+00:00,44.2,30.7,803.0,30.3,37.2,42.0,0.0
2024-01-29 11:00:00+00:00,59.5,41.4,1103.0,47.1,44.5,21.0,0.0
2024-01-29 12:00:00+00:00,75.4,52.6,1220.0,52.4,44.4,9.0,0.0
2024-01-29 13:00:00+00:00,96.6,67.3,1492.0,53.4,53.3,6.0,0.0
2024-01-29 14:00:00+00:00,116.4,81.3,1872.0,54.8,65.5,3.0,0.0
2024-01-29 15:00:00+00:00,134.6,93.8,2187.0,55.3,74.5,0.0,0.0
2024-01-29 16:00:00+00:00,145.8,102.0,2403.0,54.3,78.3,0.0,0.0
2024-01-29 17:00:00+00:00,149.0,104.1,2553.0,52.6,78.9,0.0,0.0
2024-01-29 18:00:00+00:00,147.1,102.7,2566.0,50.8,75.7,0.0,0.0
2024-01-29 19:00:00+00:00,136.9,95.7,2345.0,49.3,66.2,0.0,0.0
2024-01-29 20:00:00+00:00,112.5,78.5,1985.0,47.9,53.1,0.0,0.0
2024-01-29 21:00:00+00:00,96.9,67.5,1703.0,46.4,43.4,0.0,0.0
2024-01-29 22:00:00+00:00,87.8,61.2,1615.0,45.1,40.4,0.0,0.0
2024-01-29 23:00:00+00:00,84.1,58.6,1604.0,43.8,40.8,0.0,0.0
2024-01-30 00:00:00+00:00,90.3,62.9,1419.0,38.9,44.0,2.0,0.0
2024-01-30 01:00:00+00:00,89.2,62.2,1242.0,35.7,52.3,8.0,0.0
2024-01-30 02:00:00+00:00,76.6,53.0,997.0,31.3,63.6,17.0,0.0
2024-01-30 03:00:00+00:00,73.6,50.9,805.0,27.2,70.0,29.0,0.0
2024-01-30 04:00:00+00:00,77.1,53.2,717.0,23.7,67.1,45.0,0.0
2024-01-30 05:00:00+00:00,72.2,50.1,681.0,20.6,59.3,64.0,0.0
2024-01-30 06:00:00+00:00,71.2,49.4,664.0,18.9,52.7,78.0,0.0
2024-01-30 07:00:00+00:00,74.7,51.8,631.0,17.9,48.8,88.0,0.0
2024-01-30 08:00:00+00:00,78.7,54.6,616.0,18.4,46.1,94.0,0.0
2024-01-30 09:00:00+00:00,82.9,57.5,688.0,23.6,45.3,91.0,0.0
2024-01-30 10:00:00+00:00,88.9,61.9,909.0,38.3,47.7,71.0,0.0
2024-01-30 11:00:00+00:00,105.9,73.6,1217.0,57.7,52.2,40.0,0.0
2024-01-30 12:00:00+00:00,113.4,79.2,1653.0,79.1,69.8,13.0,0.0
2024-01-30 13:00:00+00:00,135.0,94.3,1830.0,77.7,72.1,11.0,0.0
2024-01-30 14:00:00+00:00,146.2,102.2,2071.0,75.6,75.0,7.0,0.0
2024-01-30 15:00:00+00:00,151.3,105.9,2225.0,72.8,75.6,5.0,0.0
2024-01-30 16:00:00+00:00,150.9,105.5,2211.0,69.0,71.9,4.0,0.0
2024-01-30 17:00:00+00:00,143.0,99.9,2111.0,64.5,65.9,4.0,0.0
2024-01-30 18:00:00+00:00,138.8,96.9,2016.0,60.3,60.4,4.0,0.0
2024-01-30 19:00:00+00:00,135.5,94.8,1943.0,56.4,56.0,4.0,0.0
2024-01-30 20:00:00+00:00,132.7,92.7,1876.0,52.7,52.1,4.0,0.0
2024-01-30 21:00:00+00:00,128.5,89.6,1857.0,49.8,50.5,4.0,0.0
2024-01-30 22:00:00+00:00,125.7,88.0,1944.0,48.2,52.5,3.0,0.0
2024-01-30 23:00:00+00:00,126.7,88.5,2079.0,47.4,56.8,3.0,0.0
