datetime,pm10_cams,pm2_5_cams,carbon_monoxide_cams,nitrogen_dioxide_cams,sulphur_dioxide_cams,ozone_cams,dust_cams
2024-01-15 00:00:00+00:00,81.3,55.2,943.0,41.4,49.7,14.0,0.0
2024-01-15 01:00:00+00:00,82.2,54.7,806.0,35.8,46.8,29.0,0.0
2024-01-15 02:00:00+00:00,66.4,41.8,616.0,28.1,42.7,50.0,0.0
2024-01-15 03:00:00+00:00,54.4,33.5,465.0,21.4,38.3,69.0,0.0
2024-01-15 04:00:00+00:00,44.2,27.3,392.0,16.9,33.4,82.0,0.0
2024-01-15 05:00:00+00:00,40.2,25.1,358.0,13.6,28.3,93.0,0.0
2024-01-15 06:00:00+00:00,41.7,26.3,337.0,11.6,24.4,99.0,0.0
2024-01-15 07:00:00+00:00,42.8,27.1,311.0,10.4,22.1,102.0,0.0
2024-01-15 08:00:00+00:00,40.7,25.8,299.0,10.6,21.0,101.0,0.0
2024-01-15 09:00:00+00:00,37.0,23.5,324.0,13.7,21.7,94.0,0.0
2024-01-15 10:00:00+00:00,35.5,22.4,416.0,22.1,25.1,78.0,0.0
2024-01-15 11:00:00+00:00,37.4,23.6,546.0,33.5,30.3,57.0,0.0
2024-01-15 12:00:00+00:00,48.3,30.9,646.0,39.8,34.0,43.0,0.0
2024-01-15 13:00:00+00:00,53.4,34.5,714.0,42.3,36.7,37.0,0.0
2024-01-15 14:00:00+00:00,56.3,36.7,806.0,45.9,40.3,28.0,0.0
2024-01-15 15:00:00+00:00,59.6,39.3,872.0,48.4,43.1,21.0,0.0
2024-01-15 16:00:00+00:00,60.3,40.3,885.0,49.2,44.1,18.0,0.0
2024-01-15 17:00:00+00:00,58.2,38.9,870.0,49.1,44.2,17.0,0.0
2024-01-15 18:00:00+00:00,57.9,38.9,855.0,48.4,44.0,16.0,0.0
2024-01-15 19:00:00+00:00,60.1,40.3,846.0,47.0,43.4,15.0,0.0
2024-01-15 20:00:00+00:00,61.7,41.4,836.0,45.2,42.5,14.0,0.0
2024-01-15 21:00:00+00:00,61.9,41.7,827.0,43.7,42.2,14.0,0.0
2024-01-15 22:00:00+00:00,61.2,41.1,829.0,43.6,43.5,13.0,0.0
2024-01-15 23:00:00+00:00,61.0,41.0,831.0,43.9,45.4,13.0,0.0
