datetime,pm10_cams,pm2_5_cams,carbon_monoxide_cams,nitrogen_dioxide_cams,sulphur_dioxide_cams,ozone_cams,dust_cams
2024-01-22 00:00:00+00:00,9.9,7.0,584.0,13.4,15.6,28.0,0.0
2024-01-22 01:00:00+00:00,8.1,5.7,553.0,12.6,14.4,32.0,0.0
2024-01-22 02:00:00+00:00,7.4,5.2,510.0,11.4,12.8,38.0,0.0
2024-01-22 03:00:00+00:00,6.8,4.8,475.0,10.4,11.5,43.0,0.0
2024-01-22 04:00:00+00:00,6.2,4.4,456.0,9.6,10.9,46.0,0.0
2024-01-22 05:00:00+00:00,5.8,4.1,446.0,9.0,10.6,49.0,0.0
2024-01-22 06:00:00+00:00,5.7,4.0,443.0,8.7,10.5,51.0,0.0
2024-01-22 07:00:00+00:00,6.0,4.2,448.0,8.7,10.5,52.0,0.0
2024-01-22 08:00:00+00:00,6.4,4.5,460.0,9.1,10.8,52.0,0.0
2024-01-22 09:00:00+00:00,6.3,4.4,475.0,9.8,11.3,52.0,0.0
2024-01-22 10:00:00+00:00,7.1,5.0,492.0,11.1,12.2,51.0,0.0
2024-01-22 11:00:00+00:00,8.3,5.8,512.0,12.8,13.3,48.0,0.0
2024-01-22 12:00:00+00:00,16.1,11.2,526.0,10.9,12.3,51.0,0.0
2024-01-22 13:00:00+00:00,16.9,11.8,533.0,11.3,13.2,50.0,0.0
2024-01-22 14:00:00+00:00,17.5,12.2,542.0,11.8,14.3,49.0,0.0
2024-01-22 15:00:00+00:00,19.6,13.6,542.0,11.8,15.0,49.0,0.0
2024-01-22 16:00:00+00:00,21.4,14.8,527.0,10.9,14.7,51.0,0.0
2024-01-22 17:00:00+00:00,20.9,14.4,503.0,9.6,13.9,55.0,0.0
2024-01-22 18:00:00+00:00,20.5,14.1,481.0,8.4,13.2,58.0,0.0
2024-01-22 19:00:00+00:00,20.0,13.7,464.0,7.5,12.6,61.0,0.0
2024-01-22 20:00:00+00:00,19.2,13.1,448.0,6.8,12.0,65.0,0.0
2024-01-22 21:00:00+00:00,17.6,12.1,440.0,6.5,11.7,67.0,0.0
2024-01-22 22:00:00+00:00,16.1,11.1,442.0,7.0,11.8,68.0,0.0
2024-01-22 23:00:00+00:00,14.5,10.0,450.0,8.0,12.2,68.0,0.0
