datetime,pm10_cams,pm2_5_cams,carbon_monoxide_cams,nitrogen_dioxide_cams,sulphur_dioxide_cams,ozone_cams,dust_cams
2025-07-03 00:00:00+00:00,24.7,23.6,529.0,25.6,17.6,40.0,0.0
2025-07-03 01:00:00+00:00,22.8,22.4,469.0,22.1,15.8,48.0,0.0
2025-07-03 02:00:00+00:00,17.1,17.0,384.0,17.2,13.2,60.0,0.0
2025-07-03 03:00:00+00:00,16.4,16.2,337.0,13.3,11.0,72.0,0.0
2025-07-03 04:00:00+00:00,21.2,21.1,374.0,11.4,9.5,83.0,0.0
2025-07-03 05:00:00+00:00,25.8,25.6,449.0,10.4,8.3,94.0,0.0
2025-07-03 06:00:00+00:00,24.1,24.0,492.0,9.8,7.8,106.0,0.0
2025-07-03 07:00:00+00:00,23.0,22.9,427.0,8.2,8.1,124.0,0.0
2025-07-03 08:00:00+00:00,24.3,24.2,330.0,6.9,9.0,143.0,0.0
2025-07-03 09:00:00+00:00,27.1,27.0,359.0,9.0,10.7,149.0,0.0
2025-07-03 10:00:00+00:00,27.8,27.7,656.0,16.7,13.0,132.0,0.0
2025-07-03 11:00:00+00:00,33.5,33.4,1079.0,27.8,16.0,102.0,0.0
2025-07-03 12:00:00+00:00,50.3,50.1,1361.0,40.4,19.0,70.0,0.0
2025-07-03 13:00:00+00:00,57.0,56.5,1347.0,43.8,23.1,62.0,0.0
2025-07-03 14:00:00+00:00,57.3,56.1,1192.0,48.5,28.8,51.0,0.0
2025-07-03 15:00:00+00:00,71.5,69.8,1093.0,53.4,33.1,40.0,0.0
2025-07-03 16:00:00+00:00,88.7,87.1,1167.0,58.8,34.5,29.0,0.0
2025-07-03 17:00:00+00:00,93.4,91.5,1297.0,64.3,34.5,18.0,0.0
2025-07-03 18:00:00+00:00,92.4,90.8,1328.0,66.9,34.1,10.0,0.0
2025-07-03 19:00:00+00:00,88.7,86.8,1154.0,65.0,33.5,7.0,0.0
2025-07-03 20:00:00+00:00,81.3,79.6,883.0,60.2,32.5,8.0,0.0
2025-07-03 21:00:00+00:00,77.3,75.9,678.0,54.8,32.0,12.0,0.0
2025-07-03 22:00:00+00:00,75.4,74.5,620.0,49.5,32.8,19.0,0.0
2025-07-03 23:00:00+00:00,73.8,73.3,629.0,43.7,34.1,30.0,0.0
2025-07-04 00:00:00+00:00,56.9,56.3,634.0,34.5,30.0,42.0,0.0
2025-07-04 01:00:00+00:00,42.3,41.6,611.0,29.3,30.0,53.0,0.0
2025-07-04 02:00:00+00:00,32.2,31.7,583.0,22.0,30.0,70.0,0.0
2025-07-04 03:00:00+00:00,28.2,27.8,552.0,15.7,29.4,91.0,0.0
2025-07-04 04:00:00+00:00,29.5,29.0,510.0,11.2,27.7,119.0,0.0
2025-07-04 05:00:00+00:00,32.5,32.0,465.0,7.6,25.5,151.0,0.0
2025-07-04 06:00:00+00:00,33.6,33.2,441.0,5.6,23.3,173.0,0.0
2025-07-04 07:00:00+00:00,35.2,34.8,430.0,4.6,20.9,178.0,0.0
2025-07-04 08:00:00+00:00,35.5,35.2,440.0,5.2,18.7,173.0,0.0
2025-07-04 09:00:00+00:00,32.0,31.8,523.0,9.2,18.1,160.0,0.0
2025-07-04 10:00:00+00:00,32.2,32.0,745.0,19.0,20.2,136.0,0.0
2025-07-04 11:00:00+00:00,41.6,41.3,1040.0,32.3,24.1,104.0,0.0
2025-07-04 12:00:00+00:00,51.0,50.9,1264.0,44.3,26.0,58.0,0.0
2025-07-04 13:00:00+00:00,60.3,60.3,1365.0,48.4,30.8,51.0,0.0
2025-07-04 14:00:00+00:00,67.1,66.8,1395.0,54.2,37.5,42.0,0.0
2025-07-04 15:00:00+00:00,74.7,74.7,1362.0,58.9,42.5,34.0,0.0
2025-07-04 16:00:00+00:00,96.2,95.7,1230.0,61.4,44.8,29.0,0.0
2025-07-04 17:00:00+00:00,90.3,89.9,1034.0,62.8,45.5,25.0,0.0
2025-07-04 18:00:00+00:00,85.4,85.0,891.0,63.9,44.5,21.0,0.0
2025-07-04 19:00:00+00:00,91.5,91.0,861.0,65.5,40.8,13.0,0.0
2025-07-04 20:00:00+00:00,103.8,103.4,883.0,66.9,35.4,4.0,0.0
2025-07-04 21:00:00+00:00,116.9,116.4,896.0,65.9,31.4,1.0,0.0
2025-07-04 22:00:00+00:00,132.7,131.8,879.0,61.8,30.5,6.0,0.0
2025-07-04 23:00:00+00:00,161.1,161.1,852.0,55.5,31.0,18.0,0.0
2025-07-05 00:00:00+00:00,133.6,133.2,816.0,44.5,25.7,39.0,0.0
2025-07-05 01:00:00+00:00,88.0,88.0,765.0,35.7,26.1,66.0,0.0
2025-07-05 02:00:00+00:00,58.3,58.2,705.0,23.6,26.4,104.0,0.0
2025-07-05 03:00:00+00:00,42.4,42.1,649.0,13.8,25.7,136.0,0.0
2025-07-05 04:00:00+00:00,34.6,34.2,604.0,8.8,22.8,157.0,0.0
2025-07-05 05:00:00+00:00,33.3,32.8,564.0,6.2,18.7,172.0,0.0
2025-07-05 06:00:00+00:00,33.5,33.1,525.0,4.9,15.7,183.0,0.0
2025-07-05 07:00:00+00:00,34.7,34.2,470.0,4.0,14.4,193.0,0.0
2025-07-05 08:00:00+00:00,35.6,35.2,415.0,4.4,14.2,199.0,0.0
2025-07-05 09:00:00+00:00,38.3,37.8,406.0,7.6,15.3,196.0,0.0
2025-07-05 10:00:00+00:00,42.5,42.0,486.0,15.7,18.2,180.0,0.0
2025-07-05 11:00:00+00:00,51.8,51.5,611.0,26.6,22.4,154.0,0.0
2025-07-05 12:00:00+00:00,54.6,54.5,698.0,36.9,26.7,128.0,0.0
2025-07-05 13:00:00+00:00,63.1,62.9,701.0,40.4,32.2,109.0,0.0
2025-07-05 14:00:00+00:00,70.5,70.3,666.0,45.3,39.9,82.0,0.0
2025-07-05 15:00:00+00:00,78.5,78.2,643.0,50.3,46.4,59.0,0.0
2025-07-05 16:00:00+00:00,88.2,88.0,655.0,55.1,50.6,44.0,0.0
2025-07-05 17:00:00+00:00,94.3,93.8,679.0,59.9,53.6,33.0,0.0
2025-07-05 18:00:00+00:00,102.4,102.0,701.0,64.3,55.3,24.0,0.0
2025-07-05 19:00:00+00:00,109.9,109.2,711.0,69.2,55.5,14.0,0.0
2025-07-05 20:00:00+00:00,113.9,113.2,720.0,73.7,54.5,7.0,0.0
2025-07-05 21:00:00+00:00,122.0,121.5,743.0,74.1,53.1,5.0,0.0
2025-07-05 22:00:00+00:00,118.5,118.3,813.0,67.9,51.4,10.0,0.0
2025-07-05 23:00:00+00:00,116.6,116.4,898.0,57.7,49.3,21.0,0.0
2025-07-06 00:00:00+00:00,107.3,107.1,914.0,48.9,48.9,42.0,0.0
2025-07-06 01:00:00+00:00,84.8,84.5,797.0,38.9,47.8,70.0,0.0
2025-07-06 02:00:00+00:00,61.0,60.8,611.0,25.0,46.1,109.0,0.0
2025-07-06 03:00:00+00:00,44.2,43.8,468.0,14.0,42.9,143.0,0.0
2025-07-06 04:00:00+00:00,36.8,36.4,415.0,8.6,36.8,166.0,0.0
2025-07-06 05:00:00+00:00,37.7,37.3,404.0,6.0,29.1,184.0,0.0
2025-07-06 06:00:00+00:00,40.2,39.8,402.0,4.8,23.3,196.0,0.0
2025-07-06 07:00:00+00:00,42.8,42.4,384.0,4.1,20.7,204.0,0.0
2025-07-06 08:00:00+00:00,44.7,44.4,375.0,4.7,19.9,206.0,0.0
2025-07-06 09:00:00+00:00,44.0,43.7,413.0,7.7,20.1,198.0,0.0
2025-07-06 10:00:00+00:00,44.8,44.6,545.0,14.2,21.1,174.0,0.0
2025-07-06 11:00:00+00:00,47.7,47.5,724.0,23.0,23.1,140.0,0.0
2025-07-06 12:00:00+00:00,51.1,51.0,844.0,30.8,34.3,123.0,0.0
2025-07-06 13:00:00+00:00,59.5,59.4,849.0,36.2,38.1,104.0,0.0
2025-07-06 14:00:00+00:00,68.0,68.0,795.0,43.7,43.3,76.0,0.0
2025-07-06 15:00:00+00:00,75.9,75.7,744.0,49.7,46.4,54.0,0.0
2025-07-06 16:00:00+00:00,81.0,80.6,715.0,52.5,45.5,42.0,0.0
2025-07-06 17:00:00+00:00,80.1,79.6,689.0,53.8,42.5,34.0,0.0
2025-07-06 18:00:00+00:00,80.6,79.9,667.0,54.7,39.6,28.0,0.0
2025-07-06 19:00:00+00:00,83.4,82.4,650.0,56.6,37.2,21.0,0.0
2025-07-06 20:00:00+00:00,87.5,86.4,637.0,58.2,34.8,14.0,0.0
2025-07-06 21:00:00+00:00,89.4,87.8,627.0,56.9,33.1,15.0,0.0
2025-07-06 22:00:00+00:00,84.5,82.4,624.0,50.7,32.7,24.0,0.0
2025-07-06 23:00:00+00:00,77.5,75.7,624.0,41.6,33.0,40.0,0.0
2025-07-07 00:00:00+00:00,35.9,34.8,619.0,29.7,26.3,62.0,0.0
2025-07-07 01:00:00+00:00,29.2,28.6,606.0,25.4,28.6,87.0,0.0
2025-07-07 02:00:00+00:00,32.1,31.9,588.0,19.4,31.6,123.0,0.0
2025-07-07 03:00:00+00:00,33.3,33.1,565.0,14.2,33.0,157.0,0.0
2025-07-07 04:00:00+00:00,32.6,32.5,528.0,10.4,30.9,186.0,0.0
2025-07-07 05:00:00+00:00,37.5,37.4,487.0,7.3,27.2,213.0,0.0
2025-07-07 06:00:00+00:00,40.6,40.5,465.0,5.5,24.5,236.0,0.0
2025-07-07 07:00:00+00:00,46.6,46.6,467.0,4.6,23.9,256.0,0.0
2025-07-07 08:00:00+00:00,49.0,49.0,488.0,5.0,24.3,272.0,0.0
2025-07-07 09:00:00+00:00,51.7,51.7,547.0,7.8,25.5,273.0,0.0
2025-07-07 10:00:00+00:00,52.9,52.9,681.0,14.7,27.6,250.0,0.0
2025-07-07 11:00:00+00:00,59.1,59.1,852.0,24.1,30.5,212.0,0.0
2025-07-07 12:00:00+00:00,64.7,64.7,961.0,33.8,37.6,158.0,0.0
2025-07-07 13:00:00+00:00,73.1,73.1,956.0,37.8,40.4,134.0,0.0
2025-07-07 14:00:00+00:00,78.0,78.0,890.0,43.5,44.3,100.0,0.0
2025-07-07 15:00:00+00:00,86.8,86.8,821.0,47.8,47.1,73.0,0.0
2025-07-07 16:00:00+00:00,94.3,94.3,762.0,49.5,47.8,58.0,0.0
2025-07-07 17:00:00+00:00,92.2,92.2,699.0,50.0,47.3,50.0,0.0
2025-07-07 18:00:00+00:00,88.7,88.7,652.0,50.5,46.5,42.0,0.0
2025-07-07 19:00:00+00:00,88.2,88.0,624.0,52.2,45.2,33.0,0.0
2025-07-07 20:00:00+00:00,87.8,87.5,611.0,53.9,43.5,25.0,0.0
2025-07-07 21:00:00+00:00,87.3,86.8,623.0,54.0,42.6,22.0,0.0
2025-07-07 22:00:00+00:00,86.1,85.2,684.0,51.7,43.5,22.0,0.0
2025-07-07 23:00:00+00:00,84.3,82.7,768.0,47.8,45.3,27.0,1.0
2025-07-08 00:00:00+00:00,54.5,53.6,810.0,34.2,31.3,52.0,0.0
2025-07-08 01:00:00+00:00,54.1,53.1,774.0,30.2,34.8,87.0,0.0
2025-07-08 02:00:00+00:00,56.1,55.6,694.0,24.5,39.4,136.0,1.0
2025-07-08 03:00:00+00:00,49.8,49.4,609.0,19.2,41.3,180.0,1.0
2025-07-08 04:00:00+00:00,45.9,45.5,519.0,14.4,37.9,214.0,1.0
2025-07-08 05:00:00+00:00,47.0,46.7,423.0,9.9,31.8,242.0,1.0
2025-07-08 06:00:00+00:00,48.0,47.6,355.0,7.0,26.6,258.0,1.0
2025-07-08 07:00:00+00:00,46.0,45.6,309.0,5.1,23.1,258.0,1.0
2025-07-08 08:00:00+00:00,43.5,43.2,292.0,4.7,20.6,247.0,1.0
2025-07-08 09:00:00+00:00,40.6,40.2,353.0,8.7,20.4,228.0,1.0
2025-07-08 10:00:00+00:00,39.1,38.5,573.0,21.5,24.1,200.0,1.0
2025-07-08 11:00:00+00:00,48.4,48.0,872.0,38.8,30.2,165.0,1.0
