2026-04-22 13:10:13 | MainPipeline         | INFO     | -> Lấy dữ liệu Chất Lượng Không Khí thành công!
2026-04-22 13:10:13 | MainPipeline         | INFO     | 
3. Đang đẩy dữ liệu vào PostgreSQL...
2026-04-22 13:10:13 | PostgresLoader       | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-04-22 13:10:13 | PostgresLoader       | INFO     | Connection successful!
2026-04-22 13:10:13 | MainPipeline         | INFO     | -> Đang Load dữ liệu Thời Tiết...
2026-04-22 13:10:13 | PostgresLoader       | INFO     | Successfully inserted weather_forecast_hourly data into api_openmeteo_raw_data
2026-04-22 13:10:13 | MainPipeline         | INFO     | -> Đang Load dữ liệu Chất lượng không khí...
2026-04-22 13:10:13 | PostgresLoader       | INFO     | Successfully inserted air_quality_hourly data into api_openmeteo_raw_data
2026-04-22 13:10:13 | PostgresLoader       | INFO     | PostgreSQL connection closed.
2026-04-22 13:10:13 | MainPipeline         | INFO     | 
--- Hoàn thành luồng ELT ---
2026-04-22 13:11:40 | MainPipeline         | INFO     | --- Bắt đầu chạy luồng ELT ở Local ---
2026-04-22 13:11:40 | MainPipeline         | INFO     | 1. Đang lấy dữ liệu Thời Tiết từ Open-Meteo API...
2026-04-22 13:11:41 | MainPipeline         | INFO     | -> Lấy dữ liệu Thời Tiết thành công!
2026-04-22 13:11:41 | MainPipeline         | INFO     | 2. Đang lấy dữ liệu Chất lượng không khí từ Open-Meteo API...
2026-04-22 13:11:42 | MainPipeline         | INFO     | -> Lấy dữ liệu Chất Lượng Không Khí thành công!
2026-04-22 13:11:42 | MainPipeline         | INFO     | 
3. Đang đẩy dữ liệu vào PostgreSQL...
2026-04-22 13:11:42 | PostgresLoader       | INFO     | Connecting to PostgreSQL database (Attempt 1/3)...
2026-04-22 13:11:42 | PostgresLoader       | INFO     | Connection successful!
2026-04-22 13:11:42 | MainPipeline         | INFO     | -> Đang Load dữ liệu Thời Tiết...
2026-04-22 13:11:42 | PostgresLoader       | INFO     | Successfully inserted weather_forecast_hourly data into api_openmeteo_raw_data
2026-04-22 13:11:42 | MainPipeline         | INFO     | -> Đang Load dữ liệu Chất lượng không khí...
2026-04-22 13:11:42 | PostgresLoader       | INFO     | Successfully inserted air_quality_hourly data into api_openmeteo_raw_data
